PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2019,43,1.83428,1.8605,7892,6080,X,9349,2305,1793,27419,2980,1473740
National,X,2019,44,2.04049,2.01425,8658,6143,X,10068,2279,1762,28910,2989,1435277
National,X,2019,45,2.39351,2.36364,10557,7182,X,12551,2453,1843,34586,3007,1463253
National,X,2019,46,2.63245,2.64431,11446,7904,X,13671,2739,1968,37728,2976,1426760
National,X,2019,47,2.91944,2.97548,12714,9138,X,17049,3099,2148,44148,2971,1483729
National,X,2019,48,3.41066,3.44787,14389,9159,X,14717,3186,2366,43817,2971,1270842
National,X,2019,49,3.2622,3.31577,13839,11943,X,16389,3929,2777,48877,2977,1474075
National,X,2019,50,3.94308,3.86928,14728,12822,X,21877,4114,2903,56444,2947,1458774
National,X,2019,51,5.06529,5.02757,17999,16225,X,29177,4834,3349,71584,2913,1423829
National,X,2019,52,7.06161,7.15315,24097,24617,X,34004,7638,5401,95757,2905,1338669
National,X,2020,1,5.91974,6.22926,21564,27650,X,23383,9208,6876,88681,2957,1423620
National,X,2020,2,4.94176,5.06974,15547,23631,X,22747,8196,5464,75585,2987,1490905
National,X,2020,3,5.33174,5.35782,16587,21395,X,29657,7379,4728,79746,2983,1488404
National,X,2020,4,6.08106,6.0261,18558,23657,X,35216,7971,4670,90072,2984,1494697
National,X,2020,5,6.74724,6.87271,20299,28889,X,44117,9527,5475,108307,2984,1575900
National,X,2020,6,6.7998,7.08261,20270,29790,X,45491,10036,5702,111289,2994,1571300
National,X,2020,7,6.11292,6.22068,17393,26428,X,36909,9231,5457,95418,2958,1533883
National,X,2020,8,5.55671,5.62148,15233,22908,X,28328,8221,5142,79832,2909,1420123
National,X,2020,9,5.12279,5.10226,13817,22125,X,25487,8273,5107,74809,2934,1466192
National,X,2020,10,5.26652,5.28928,13888,23906,X,26396,8891,5698,78779,2901,1489410
National,X,2020,11,5.67081,6.29229,14149,29657,X,27752,11327,6686,89571,2836,1423503
National,X,2020,12,6.38029,7.35285,10790,30818,X,17512,12478,6986,78584,2798,1068755
National,X,2020,13,4.91692,6.22687,5129,22408,X,8322,10825,6458,53142,2727,853431
National,X,2020,14,3.78625,4.82995,2359,14964,X,4852,8696,5380,36251,2684,750546
National,X,2020,15,2.80122,3.47366,1496,9995,X,3426,6043,4014,24974,2686,718953
National,X,2020,16,2.12879,2.57382,1068,7423,X,2666,4182,2926,18265,2666,709645
National,X,2020,17,1.73315,2.02032,926,6339,X,2317,3289,2293,15164,2652,750576
National,X,2020,18,1.40932,1.62094,864,5291,X,2098,2668,1896,12817,2624,790715
National,X,2020,19,1.18336,1.35262,729,4585,X,1889,2241,1622,11066,2611,818113
National,X,2020,20,1.11451,1.23819,788,4112,X,1960,2171,1449,10480,2601,846400
National,X,2020,21,1.00534,1.07598,1224,4375,X,2402,2148,1586,11735,2971,1090638
National,X,2020,22,0.88827,0.885843,805,3572,X,1898,1878,1461,9614,2950,1085294
National,X,2020,23,0.814062,0.819928,802,3440,X,1969,1705,1409,9325,2931,1137295
National,X,2020,24,0.836751,0.814575,881,3454,X,2141,1726,1378,9580,2902,1176074
National,X,2020,25,0.928456,0.950979,1006,4709,X,2679,2001,1471,11866,2935,1247767
National,X,2020,26,1.14217,1.20306,1216,6241,X,3491,2649,1902,15499,2896,1288294
National,X,2020,27,1.27401,1.38424,1395,7032,X,3970,3223,2223,17843,2897,1289006
National,X,2020,28,1.34951,1.47311,1545,8010,X,4094,3765,2632,20046,2918,1360798
National,X,2020,29,1.34471,1.43761,1658,7526,X,4075,3565,2436,19260,2894,1339726
National,X,2020,30,1.22153,1.21898,1634,6105,X,3560,3089,2145,16533,2953,1356301
National,X,2020,31,1.15258,1.15067,1609,5709,X,3497,2595,2114,15524,2992,1349125
National,X,2020,32,1.0626,1.05662,1570,4977,X,3271,2361,1938,14117,2956,1336052
National,X,2020,33,0.979884,0.981699,1592,4502,X,3167,2174,1758,13193,2978,1343895
National,X,2020,34,0.969202,0.961833,1804,4305,X,3283,1894,1666,12952,2930,1346595
National,X,2020,35,1.00022,0.970543,1866,4032,X,3951,1821,1489,13159,2967,1355839
National,X,2020,36,0.920817,0.919002,1759,3773,X,3609,1696,1479,12316,2921,1340149
National,X,2020,37,1.0355,0.978032,1999,3975,X,3822,1793,1446,13035,2915,1332779
National,X,2020,38,0.974333,0.955677,2070,4070,X,3628,1794,1487,13049,2943,1365420
National,X,2020,39,1.06462,1.03845,2286,4412,X,4366,1944,1578,14586,2941,1404590
National,X,2020,40,1.09211,1.08024,2454,5091,X,4715,2362,1844,16466,3246,1524289
National,X,2020,41,1.21201,1.19451,2558,6023,X,5239,3004,2320,19144,3318,1602667
National,X,2020,42,1.11151,1.09796,2313,5661,X,4613,2547,2101,17235,3301,1569727
National,X,2020,43,1.18662,1.15393,2454,5850,X,4834,2821,2174,18133,3330,1571417
National,X,2020,44,1.25262,1.18924,2512,6082,X,4916,2752,2292,18554,3421,1560158
National,X,2020,45,1.44427,1.33759,2726,7084,X,5825,3282,2453,21370,3425,1597645
National,X,2020,46,1.48969,1.37845,2776,7677,X,5544,3728,2873,22598,3391,1639379
National,X,2020,47,1.56064,1.43236,2692,7824,X,5342,3956,2895,22709,3334,1585429
National,X,2020,48,1.61944,1.49959,2484,7091,X,4584,3962,3192,21313,3333,1421255
National,X,2020,49,1.57347,1.44967,2597,7682,X,4861,3976,3135,22251,3339,1534905
National,X,2020,50,1.51939,1.42617,2504,7519,X,4692,4067,3321,22103,3358,1549810
National,X,2020,51,1.50599,1.39797,2482,7124,X,4282,3841,3145,20874,3299,1493163
National,X,2020,52,1.55485,1.45725,2323,6627,X,3564,3918,3404,19836,3301,1361197
National,X,2020,53,1.58903,1.53781,2583,7723,X,3933,4516,3668,22423,3280,1458113
National,X,2021,1,1.47519,1.4348,2414,7976,X,4549,4359,3413,22711,3316,1582870
National,X,2021,2,1.28752,1.2606,2297,6396,X,3975,3520,2830,19018,3278,1508647
National,X,2021,3,1.25172,1.21098,2566,5876,X,4056,3310,2542,18350,3315,1515305
National,X,2021,4,1.10177,1.12283,2558,5345,X,3953,2803,2237,16896,3324,1504764
National,X,2021,5,1.16565,1.08237,2636,4995,X,4015,2525,1927,16098,3295,1487296
National,X,2021,6,1.00609,0.975086,2552,4096,X,3730,2129,1572,14079,3246,1443873
National,X,2021,7,0.986101,0.907555,2318,3708,X,3144,1918,1503,12591,3256,1387354
National,X,2021,8,0.864388,0.860857,2543,3839,X,3541,1900,1521,13344,3276,1550083
National,X,2021,9,0.828056,0.842356,2771,3532,X,3540,1810,1347,13000,3278,1543291
National,X,2021,10,0.882103,0.902897,3218,3781,X,3806,1901,1371,14077,3284,1559093
National,X,2021,11,0.908033,0.939382,3514,3936,X,3856,1909,1359,14574,3227,1551445
National,X,2021,12,0.947577,0.96011,3817,4214,X,3915,2054,1354,15354,3201,1599192
National,X,2021,13,0.975225,0.998141,4116,4394,X,4089,2129,1265,15993,3257,1602279
National,X,2021,14,1.06101,1.07796,4731,5048,X,4685,2281,1355,18100,3277,1679101
National,X,2021,15,1.08091,1.1089,5227,5290,X,4907,2358,1383,19165,3282,1728295
National,X,2021,16,1.10326,1.1502,5763,4858,X,5093,2140,1451,19305,3248,1678407
National,X,2021,17,1.13361,1.1834,6326,4810,X,5503,2042,1418,20099,3256,1698411
National,X,2021,18,1.14992,1.20915,6822,4617,X,5401,1802,1288,19930,3227,1648268
National,X,2021,19,1.19092,1.25462,7365,4362,X,5491,1841,1308,20367,3214,1623366
National,X,2021,20,1.24677,1.26333,8352,4421,X,5414,1742,1333,21262,3193,1683010
National,X,2021,21,1.14504,1.19095,7953,3990,X,4967,1590,1175,19675,3141,1652047
National,X,2021,22,1.18454,1.25187,8502,3975,X,4854,1572,1240,20143,3140,1609033
National,X,2021,23,1.12943,1.14521,8096,3692,X,4645,1527,1222,19182,3110,1674977
National,X,2021,24,1.18866,1.18174,8503,3785,X,4594,1508,1189,19579,3068,1656791
National,X,2021,25,1.21202,1.21001,8514,3814,X,4609,1652,1301,19890,3057,1643793
National,X,2021,26,1.21342,1.21283,8369,4003,X,4757,1672,1291,20092,3055,1656615
National,X,2021,27,1.26676,1.32905,8719,4859,X,5309,1976,1508,22371,3055,1683237
National,X,2021,28,1.38728,1.44269,9193,6029,X,5930,2399,1710,25261,3067,1750965
National,X,2021,29,1.6475,1.70926,10371,7958,X,7170,2897,2149,30545,3067,1787028
National,X,2021,30,1.80199,1.91065,11132,9249,X,8572,3614,2628,35195,3050,1842048
National,X,2021,31,1.94952,2.05206,11102,10544,X,8900,4327,2883,37756,3050,1839909
National,X,2021,32,2.03548,2.15548,11264,11226,X,10105,4555,2917,40067,3042,1858843
National,X,2021,33,2.1918,2.30581,11801,11013,X,12275,4739,2893,42721,3029,1852756
National,X,2021,34,2.23897,2.30752,11982,10382,X,13529,4339,2826,43058,3028,1865986
National,X,2021,35,2.26643,2.25253,11745,9557,X,13053,3886,2623,40864,3027,1814136
National,X,2021,36,2.21298,2.21275,11705,9088,X,12250,3733,2645,39421,3021,1781535
National,X,2021,37,2.045,2.00464,11248,7774,X,11578,3289,2304,36193,3059,1805463
National,X,2021,38,1.90124,1.93759,10916,6853,X,11380,2765,2062,33976,3037,1753523
National,X,2021,39,1.8442,1.84367,10133,5627,X,10040,2315,1834,29949,2877,1624427
National,X,2021,40,2.04291,1.96951,13140,7466,X,13154,3201,2574,39535,3501,2007349
National,X,2021,41,1.94883,1.90695,13072,7120,X,11985,2975,2486,37638,3510,1973726
National,X,2021,42,1.92689,1.86187,12500,6458,X,11458,2943,2355,35714,3474,1918176
National,X,2021,43,1.9797,1.89376,12859,6677,X,11888,2853,2362,36639,3509,1934723
National,X,2021,44,2.13555,2.08777,13304,6968,X,14454,2930,2374,40030,3515,1917361
National,X,2021,45,2.26828,2.22941,14565,7836,X,15840,3192,2730,44163,3530,1980931
National,X,2021,46,2.41203,2.35687,14740,8523,X,17358,3639,2816,47076,3526,1997393
National,X,2021,47,2.51906,2.45867,14918,8183,X,13401,3719,3103,43324,3519,1762089
National,X,2021,48,2.55518,2.56351,15167,11304,X,17353,4893,4012,52729,3545,2056903
National,X,2021,49,2.73156,2.71846,14971,11373,X,19971,4863,3891,55069,3544,2025745
National,X,2021,50,3.14637,3.09823,16287,13615,X,23450,5232,3961,62545,3518,2018736
National,X,2021,51,4.00697,4.07867,18515,22557,X,25073,7773,5307,79225,3496,1942424
National,X,2021,52,4.90255,5.06901,24109,38300,X,28952,13512,8989,113862,3455,2246237
National,X,2022,1,4.32609,4.28066,17044,31478,X,24738,12063,7939,93262,3487,2178681
National,X,2022,2,3.53446,3.41579,12223,21830,X,20214,8735,6181,69183,3499,2025389
National,X,2022,3,2.80631,2.67796,9492,15006,X,13268,6185,4547,48498,3503,1811003
National,X,2022,4,2.07428,1.97776,7309,9877,X,9526,4582,3516,34810,3485,1760073
National,X,2022,5,1.68283,1.56091,6082,6431,X,7748,3018,2552,25831,3415,1654872
National,X,2022,6,1.44399,1.34542,6395,5170,X,7610,2401,2155,23731,3474,1763832
National,X,2022,7,1.49042,1.37085,6917,4645,X,8500,2083,1801,23946,3474,1746795
National,X,2022,8,1.46656,1.37026,7057,4638,X,8330,1816,1768,23609,3472,1722955
National,X,2022,9,1.58712,1.42301,7423,5008,X,9830,1864,1676,25801,3470,1813130
National,X,2022,10,1.70414,1.54683,8210,5060,X,11085,1951,1771,28077,3485,1815133
National,X,2022,11,1.83426,1.67881,9042,5914,X,12124,2202,2077,31359,3454,1867926
National,X,2022,12,1.87437,1.73443,9302,5973,X,12648,2334,2166,32423,3449,1869370
National,X,2022,13,1.97666,1.85462,9613,6759,X,13660,2384,2406,34822,3443,1877580
National,X,2022,14,2.07192,1.99404,10562,7272,X,15187,2573,2550,38144,3453,1912899
National,X,2022,15,2.16356,2.12964,11336,7838,X,16095,2868,2829,40966,3446,1923613
National,X,2022,16,2.20516,2.1833,11734,8315,X,15748,3172,3117,42086,3457,1927635
National,X,2022,17,2.30897,2.21509,12070,8422,X,16372,3274,3282,43420,3426,1960190
National,X,2022,18,2.36195,2.4143,12835,9402,X,18631,3608,3323,47799,3394,1979830
National,X,2022,19,2.55252,2.60892,14243,10135,X,19989,3843,3815,52025,3376,1994121
National,X,2022,20,2.4544,2.60434,15055,10460,X,20746,3985,3835,54081,3414,2076569
National,X,2022,21,2.39129,2.66831,14561,10167,X,19982,4010,3665,52385,3351,1963229
National,X,2022,22,2.43334,2.64646,15809,10584,X,17507,4060,3903,51863,3345,1959711
National,X,2022,23,2.16338,2.29329,14154,9654,X,13726,3941,3765,45240,3342,1972714
National,X,2022,24,1.9885,2.0741,12858,8941,X,11205,3665,3581,40250,3302,1940597
National,X,2022,25,1.87681,1.91807,11865,8676,X,9933,3736,3620,37830,3355,1972297
National,X,2022,26,1.80431,1.80208,11066,8004,X,8513,3523,3460,34566,3237,1918113
National,X,2022,27,1.8187,1.79307,10580,8380,X,8593,3697,3733,34983,3345,1951013
National,X,2022,28,1.67889,1.66869,9525,8324,X,8111,3546,3505,33011,3313,1978256
National,X,2022,29,1.66049,1.64913,9361,8219,X,8116,3483,3432,32611,3313,1977461
National,X,2022,30,1.67087,1.64799,9153,8056,X,7859,3485,3487,32040,3289,1944189
National,X,2022,31,1.53015,1.5292,8659,7295,X,7476,3104,3107,29641,3305,1938338
National,X,2022,32,1.51566,1.51741,8329,6816,X,7813,2804,2880,28642,3198,1887562
National,X,2022,33,1.60511,1.61916,9479,6659,X,9934,2819,2681,31572,3293,1949894
National,X,2022,34,1.83833,1.81145,10792,7079,X,12593,2730,2593,35787,3280,1975601
National,X,2022,35,1.96617,1.89564,11524,6980,X,13887,2670,2452,37513,3260,1978914
National,X,2022,36,2.02613,1.94934,12548,6978,X,13475,2701,2632,38334,3290,1966513
National,X,2022,37,2.04444,1.97433,13405,6751,X,14610,2618,2454,39838,3322,2017799
National,X,2022,38,2.29157,2.19998,15939,6924,X,16713,2658,2492,44726,3334,2033022
National,X,2022,39,2.37316,2.29832,17080,6945,X,16825,2795,2676,46321,3353,2015431
National,X,2022,40,2.61928,2.59379,18503,10718,X,20141,4094,3862,57318,3684,2209814
National,X,2022,41,2.97342,2.85133,20623,11519,X,22779,4394,4073,63388,3720,2223106
National,X,2022,42,3.33747,3.31688,23713,13719,X,28368,5303,4512,75615,3726,2279700
National,X,2022,43,4.40914,4.4466,32012,19586,X,45003,7037,5858,109496,3788,2462467
National,X,2022,44,5.46044,5.54702,37474,25460,X,61015,8469,6829,139247,3776,2510305
National,X,2022,45,5.77391,5.67263,38651,26941,X,57053,9791,7619,140055,3793,2468962
National,X,2022,46,5.95367,5.73531,34849,28672,X,55229,10171,8498,137419,3777,2396019
National,X,2022,47,7.46674,7.37142,39539,36157,X,62925,13876,12439,164936,3765,2237505
National,X,2022,48,7.22916,7.24012,38495,48042,X,63623,18626,16887,185673,3767,2564503
National,X,2022,49,6.83803,6.82928,32316,40778,X,62563,16557,15034,167248,3750,2448985
National,X,2022,50,6.32716,6.46231,28976,38007,X,55613,15506,13570,151672,3751,2347026
National,X,2022,51,5.98024,6.1412,25500,34587,X,41624,14564,13703,129978,3715,2116491
National,X,2022,52,5.33738,5.46656,22891,31974,X,27251,14961,15454,112531,3703,2058533
National,X,2023,1,3.94632,4.07732,16651,27662,X,21006,13549,13166,92034,3740,2257219
National,X,2023,2,2.95379,3.05773,12231,19912,X,18061,9135,8381,67720,3737,2214718
National,X,2023,3,2.64461,2.70671,11720,15844,X,16915,7000,6291,57770,3730,2134322
National,X,2023,4,2.63254,2.67225,12170,15618,X,18680,6410,5353,58231,3716,2179097
National,X,2023,5,2.58785,2.68591,12686,15506,X,19751,6113,5270,59326,3734,2208786
National,X,2023,6,2.59797,2.70465,13271,15921,X,20964,6469,5633,62258,3735,2301891
National,X,2023,7,2.57397,2.6371,13127,15055,X,19818,6263,5402,59665,3695,2262519
National,X,2023,8,2.53338,2.58651,13478,13880,X,18410,6054,5401,57223,3719,2212367
National,X,2023,9,2.41141,2.44348,12693,13849,X,18281,5769,5090,55682,3725,2278801
National,X,2023,10,2.36135,2.40445,12840,13379,X,18388,5365,4714,54686,3722,2274369
National,X,2023,11,2.35552,2.43524,13086,13264,X,17814,5298,4801,54263,3713,2228243
National,X,2023,12,2.31452,2.41343,13043,13685,X,18685,5286,4695,55394,3665,2295244
National,X,2023,13,2.26061,2.34891,12413,13208,X,18078,5005,4638,53342,3688,2270922
National,X,2023,14,2.13495,2.20628,11586,11976,X,15673,4783,4337,48355,3680,2191695
National,X,2023,15,2.01808,2.0726,11151,11853,X,14832,4552,4337,46725,3665,2254413
National,X,2023,16,1.91773,1.95437,9912,11388,X,14788,4361,4058,44507,3680,2277306
National,X,2023,17,1.91233,1.97315,10041,11176,X,15803,4133,3649,44802,3677,2270577
National,X,2023,18,1.95706,2.0174,10013,11224,X,16115,4283,3947,45582,3652,2259439
National,X,2023,19,1.92178,1.99349,10187,11067,X,16725,4072,3718,45769,3654,2295923
National,X,2023,20,1.88696,1.96616,9740,10697,X,15517,3875,3458,43287,3653,2201602
National,X,2023,21,1.83831,1.91398,9389,10386,X,14611,3640,3490,41516,3518,2169098
National,X,2023,22,1.85243,1.93826,9568,10413,X,14220,3845,3543,41589,3601,2145684
National,X,2023,23,1.58197,1.69283,8309,9954,X,11628,3622,3426,36939,3583,2182091
National,X,2023,24,1.49009,1.57462,7741,9289,X,10223,3447,3180,33880,3589,2151633
National,X,2023,25,1.36698,1.44401,6998,8727,X,8941,3236,2987,30889,3582,2139112
National,X,2023,26,1.276,1.32385,6388,8130,X,8012,3046,2910,28486,3539,2151758
National,X,2023,27,1.23501,1.29091,5944,7472,X,7475,2940,2817,26648,3569,2064286
National,X,2023,28,1.16269,1.20177,5608,7567,X,7043,2925,2760,25903,3542,2155400
National,X,2023,29,1.12962,1.19268,5718,7476,X,6836,2931,2841,25802,3560,2163359
National,X,2023,30,1.1716,1.23085,5812,7475,X,7046,3137,2947,26417,3551,2146245
National,X,2023,31,1.20886,1.26099,5678,7979,X,6966,3273,3000,26896,3542,2132922
National,X,2023,32,1.28069,1.35931,5982,8642,X,7764,3560,3365,29313,3521,2156467
National,X,2023,33,1.45906,1.53965,6688,9791,X,9759,3784,3641,33663,3533,2186399
National,X,2023,34,1.72129,1.8262,8234,11256,X,13151,4300,4038,40979,3524,2243946
National,X,2023,35,1.95643,1.97735,8980,11792,X,14664,4630,4345,44411,3537,2245988
National,X,2023,36,2.02622,2.0246,9546,11819,X,14159,4621,4589,44734,3538,2209523
National,X,2023,37,1.95721,1.99147,9485,11798,X,14904,4699,4401,45287,3558,2274050
National,X,2023,38,2.04894,2.13438,10912,11970,X,16162,4711,4510,48265,3558,2261308
National,X,2023,39,2.10325,2.17945,11376,12299,X,16110,4934,4550,49269,3552,2260617
National,X,2023,40,2.29437,2.25993,13519,13442,X,19002,5294,5055,56312,4131,2491762
National,X,2023,41,2.35661,2.31333,14421,13971,X,18599,5435,5098,57524,4152,2486632
National,X,2023,42,2.54534,2.51543,15720,14465,X,20305,5817,6196,62503,4137,2484780
National,X,2023,43,2.73456,2.68187,16987,15471,X,22384,6081,6712,67635,4162,2521937
National,X,2023,44,2.97593,2.91427,17798,16588,X,24808,6341,6696,72231,4157,2478529
National,X,2023,45,3.44474,3.32776,21464,19331,X,29464,7439,7761,85459,4153,2568065
National,X,2023,46,3.72733,3.57493,22024,21565,X,30847,8087,8425,90948,4156,2544050
National,X,2023,47,3.96716,3.7901,22396,20392,X,25940,8378,8418,85524,4169,2256510
National,X,2023,48,4.0711,3.96251,22647,28356,X,30362,11139,11208,103712,4142,2617331
National,X,2023,49,4.43001,4.3577,23354,29032,X,38183,12201,11371,114141,4106,2619296
National,X,2023,50,5.23531,5.20976,26077,35019,X,48330,14000,12572,135998,4122,2610448
National,X,2023,51,6.29628,6.3132,29770,45265,X,53491,18111,16628,163265,4093,2586088
National,X,2023,52,6.86008,6.90793,31488,50055,X,41791,21699,21717,166750,4084,2413892
National,X,2024,1,5.76943,5.76353,24677,47024,X,32320,20533,19384,143938,4112,2497395
National,X,2024,2,4.71303,4.7553,18151,37106,X,31396,16411,15395,118459,4110,2491092
National,X,2024,3,4.37645,4.35212,16160,30579,X,29154,12642,11563,100098,4121,2299985
National,X,2024,4,4.29285,4.22512,16225,31799,X,34393,12498,10656,105571,4145,2498648
National,X,2024,5,4.47024,4.27996,17267,30426,X,38567,11602,10060,107922,4127,2521568
National,X,2024,6,4.51127,4.40173,17961,31619,X,41789,11549,10050,112968,4130,2566444
National,X,2024,7,4.40434,4.33653,17400,30771,X,38985,11241,9969,108366,4118,2498912
National,X,2024,8,4.38329,4.32522,17659,31270,X,37127,11327,10183,107566,4111,2486951
National,X,2024,9,4.10181,4.08164,17334,30558,X,36003,11052,9917,104864,4110,2569164
National,X,2024,10,3.7598,3.73403,16496,26610,X,33098,9715,8823,94742,4114,2537260
National,X,2024,11,3.43549,3.40093,15876,23707,X,29166,8470,7744,84963,4053,2498228
National,X,2024,12,3.1177,3.15454,15097,22021,X,26576,7830,7129,78653,4107,2493326
National,X,2024,13,3.00072,3.03463,14434,21239,X,23597,7506,7111,73887,4100,2434795
National,X,2024,14,2.79485,2.83344,13918,20147,X,20517,7157,6787,68526,4074,2418470
National,X,2024,15,2.56575,2.5935,13267,18236,X,19761,6845,6380,64489,4089,2486565
National,X,2024,16,2.27162,2.29574,11853,15633,X,18346,5943,5776,57551,4075,2506856
National,X,2024,17,2.21353,2.24486,11399,14891,X,18202,5643,5293,55428,4048,2469102
National,X,2024,18,2.12453,2.14655,11136,14265,X,17612,5365,5141,53519,4001,2493255
National,X,2024,19,2.02811,2.04178,10369,13414,X,16479,5177,5018,50457,4048,2471221
National,X,2024,20,1.99937,2.03197,10323,13161,X,15732,5049,4989,49254,4002,2423948
National,X,2024,21,1.93192,1.95805,9847,12848,X,14631,5281,4962,47569,3964,2429410
National,X,2024,22,1.90221,1.92217,9668,11931,X,13387,4835,4948,44769,3953,2329091
National,X,2024,23,1.6822,1.7266,8276,11775,X,11487,4808,4907,41253,3925,2389263
National,X,2024,24,1.60333,1.60628,7421,10847,X,10237,4588,4635,37728,3918,2348784
National,X,2024,25,1.50853,1.54231,6731,10985,X,9054,4334,4687,35791,3916,2320615
National,X,2024,26,1.48464,1.4967,6269,10634,X,9100,4530,4687,35220,3863,2353175
National,X,2024,27,1.39426,1.44724,5811,9476,X,8087,4035,4698,32107,3892,2218501
National,X,2024,28,1.45585,1.44854,6102,10806,X,8830,4634,4630,35002,3879,2416372
National,X,2024,29,1.45536,1.43243,5727,10274,X,8335,4491,4660,33487,3864,2337774
National,X,2024,30,1.52601,1.50546,6019,10724,X,8662,4550,4811,34766,3892,2309323
National,X,2024,31,1.53751,1.49594,6010,10820,X,8918,4449,4778,34975,3902,2337992
National,X,2024,32,1.54144,1.5044,6268,10752,X,9058,4293,4598,34969,3884,2324448
National,X,2024,33,1.56616,1.56294,6544,10871,X,10414,4399,4537,36765,3872,2352304
National,X,2024,34,1.76501,1.75312,7458,11563,X,13127,4478,4504,41130,3842,2346103
